tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2021,2021,2021-04-11,The Masters #2,536,"DeChambeau, Bryson",19841,T46,3,Augusta National Golf Club,14,72,1,1:00pm,75,-0.528,-1.487,-0.995,0.436,-2.046,-2.574,316.8,0.429,0.5,0.6,58.53,33.9,2.0,4.0,0,4,9,3,2
pga,2021,2021,2021-04-11,The Masters #2,536,"DeChambeau, Bryson",19841,T46,4,Augusta National Golf Club,14,72,1,11:00am,75,-3.245,0.061,-0.428,1.242,0.875,-2.37,332.8,0.714,0.611,0.429,58.854,28.155,7.0,9.0,1,1,11,4,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Kokrak, Jason",12337,49,1,Augusta National Golf Club,14,72,1,12:12pm,71,2.607,0.314,1.665,-1.063,0.915,3.523,285.0,0.571,0.611,0.833,53.664,28.055,6.0,3.0,0,4,11,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Kokrak, Jason",12337,49,2,Augusta National Golf Club,14,72,1,9:00am,76,0.194,-1.12,-2.045,-0.699,-3.864,-3.67,309.7,0.5,0.5,0.636,74.516,37.517,4.0,10.0,0,4,8,4,2
pga,2021,2021,2021-04-11,The Masters #2,536,"Kokrak, Jason",12337,49,3,Augusta National Golf Club,14,72,1,10:10am,71,1.708,-1.544,0.804,0.458,-0.282,1.426,309.4,0.571,0.722,0.5,98.308,36.336,3.0,3.0,0,4,11,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Kokrak, Jason",12337,49,4,Augusta National Golf Club,14,72,1,11:10am,77,-0.717,-1.276,-1.746,-0.632,-3.653,-4.37,299.5,0.643,0.444,0.429,64.238,48.271,3.0,12.0,1,3,7,4,3
pga,2021,2021,2021-04-11,The Masters #2,536,"Horschel, Billy",11276,T50,1,Augusta National Golf Club,14,72,1,1:00pm,76,0.152,-3.337,0.886,0.821,-1.629,-1.477,287.4,0.786,0.556,0.538,85.621,32.875,0.0,2.0,0,3,9,5,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Horschel, Billy",11276,T50,2,Augusta National Golf Club,14,72,1,9:48am,71,-0.621,1.468,-0.98,1.463,1.951,1.33,300.3,0.857,0.611,0.667,40.842,41.898,2.0,3.0,0,3,13,2,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Horschel, Billy",11276,T50,3,Augusta National Golf Club,14,72,1,10:00am,73,0.929,-0.742,-0.991,0.229,-1.503,-0.574,295.4,0.714,0.389,0.538,124.647,35.197,3.0,2.0,0,3,11,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Horschel, Billy",11276,T50,4,Augusta National Golf Club,14,72,1,10:30am,76,2.235,1.076,-5.567,-1.115,-5.605,-3.37,287.4,0.714,0.556,0.778,52.858,41.847,2.0,8.0,0,3,11,2,2
pga,2021,2021,2021-04-11,The Masters #2,536,"Olazabal, Jose Maria",3485,T50,1,Augusta National Golf Club,14,72,1,11:54am,75,-1.029,0.029,1.362,-0.84,0.551,-0.477,263.0,0.786,0.5,0.667,24.678,37.951,4.0,4.0,0,2,12,3,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Olazabal, Jose Maria",3485,T50,2,Augusta National Golf Club,14,72,1,8:48am,71,1.145,2.064,0.121,-2.0,0.185,1.33,261.6,0.786,0.389,0.833,22.034,46.689,4.0,3.0,0,4,11,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Olazabal, Jose Maria",3485,T50,3,Augusta National Golf Club,14,72,1,10:50am,75,1.462,1.142,-3.047,-2.131,-4.036,-2.574,257.2,0.714,0.333,0.818,22.641,42.96,2.0,3.0,0,2,12,3,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Olazabal, Jose Maria",3485,T50,4,Augusta National Golf Club,14,72,1,10:10am,75,3.344,-1.017,-2.878,-1.819,-5.714,-2.37,256.0,0.786,0.5,0.6,76.16,37.143,2.0,6.0,0,3,11,3,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Molinari, Francesco",7655,52,1,Augusta National Golf Club,14,72,1,12:24pm,74,1.572,-0.648,-0.471,0.069,-1.05,0.523,291.0,0.571,0.5,0.615,108.074,36.251,1.0,2.0,0,2,12,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Molinari, Francesco",7655,52,2,Augusta National Golf Club,14,72,1,9:12am,73,0.504,-0.069,1.419,-2.525,-1.175,-0.67,296.6,0.5,0.611,0.6,38.322,41.201,3.0,6.0,0,5,9,3,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Molinari, Francesco",7655,52,3,Augusta National Golf Club,14,72,1,10:10am,69,-0.075,2.2,0.144,1.158,3.501,3.426,288.9,0.857,0.667,0.625,139.053,28.571,4.0,2.0,1,4,10,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Molinari, Francesco",7655,52,4,Augusta National Golf Club,14,72,1,12:50pm,81,-4.367,-0.898,-2.675,-0.43,-4.003,-8.37,290.3,0.643,0.556,0.2,55.845,46.213,1.0,5.0,0,0,10,7,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Herman, Jim",12846,53,1,Augusta National Golf Club,14,72,1,8:24am,76,-2.363,-0.479,2.189,-0.824,0.886,-1.477,290.5,0.571,0.556,0.333,53.147,33.441,3.0,5.0,0,3,8,7,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Herman, Jim",12846,53,2,Augusta National Golf Club,14,72,1,11:30am,70,-0.791,0.958,1.355,0.807,3.12,2.33,296.7,0.786,0.889,0.5,22.376,37.754,4.0,2.0,0,5,10,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Herman, Jim",12846,53,3,Augusta National Golf Club,14,72,1,10:30am,76,0.161,-1.846,-2.357,0.468,-3.735,-3.574,300.0,0.643,0.444,0.6,79.545,52.504,1.0,6.0,0,4,9,3,2
pga,2021,2021,2021-04-11,The Masters #2,536,"Herman, Jim",12846,53,4,Augusta National Golf Club,14,72,1,10:00am,76,-2.077,-0.599,-1.176,0.481,-1.294,-3.37,292.7,0.714,0.611,0.0,63.329,55.459,3.0,5.0,1,2,8,6,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Scott, Adam",6430,54,1,Augusta National Golf Club,14,72,1,1:36pm,74,1.328,-0.182,-0.815,0.191,-0.806,0.523,296.7,0.643,0.556,0.4,72.864,50.677,5.0,5.0,0,3,10,5,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Scott, Adam",6430,54,2,Augusta National Golf Club,14,72,1,10:30am,73,0.194,-0.455,-1.376,0.967,-0.865,-0.67,305.6,0.714,0.833,0.667,11.26,50.269,2.0,4.0,0,1,15,2,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Scott, Adam",6430,54,3,Augusta National Golf Club,14,72,1,9:50am,79,-1.597,-2.624,-2.276,-0.077,-4.977,-6.574,309.7,0.571,0.556,0.333,56.615,30.591,3.0,9.0,0,3,8,5,2
pga,2021,2021,2021-04-11,The Masters #2,536,"Scott, Adam",6430,54,4,Augusta National Golf Club,14,72,1,10:00am,73,0.328,1.291,-2.32,0.33,-0.699,-0.37,303.1,0.643,0.5,0.545,107.753,38.081,6.0,9.0,0,4,9,5,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Garcia, Sergio",5689,CUT,1,Augusta National Golf Club,14,72,1,10:18am,76,-1.233,2.32,-0.794,-1.77,-0.244,-1.477,297.5,0.357,0.444,0.667,105.894,41.918,3.0,8.0,0,1,12,5,0
